Age,Gender,Location,Occupation,Education,Income,Device Ownership,Operating System,Internet Usage,Use of Security Tools,Social Media Usage,Privacy Settings,Info Sharing Frequency,Email Accounts,Email Filtering,Browsing Behavior,Security Awareness,Password Hygiene,Incident History,Sensitive Info Access,Workplace Policies,Remote Work Status,Risk Factor
25,Female,Suburban,Healthcare,Bachelor's,Low,4,iOS,Medium,No,Medium,Public,Often,2,Yes,Cautious,Low,Strong,No,No,None,No,71
45,Male,Urban,Education,Associate,Low,4,iOS,Medium,No,High,Private,Often,4,Yes,Cautious,Medium,Strong,No,Yes,Moderate,No,59
53,Non-binary,Urban,IT,Associate,High,2,Android,High,Yes,High,Public,Rarely,1,Yes,Risky,High,Moderate,Yes,No,None,Yes,83
43,Female,Rural,Healthcare,PhD,Low,4,Windows,Medium,No,High,Private,Often,1,No,Risky,Low,Strong,Yes,Yes,Moderate,Yes,93
25,Female,Suburban,Legal,PhD,Medium,4,iOS,Low,No,Medium,Private,Rarely,2,No,Risky,Low,Weak,Yes,No,Strict,Yes,85
45,Female,Urban,Legal,PhD,Medium,1,Other,High,Yes,Medium,Private,Sometimes,3,Yes,Moderate,Medium,Strong,No,No,Moderate,No,52
45,Non-binary,Rural,Retail,Bachelor's,High,1,Android,Medium,No,Medium,Public,Sometimes,3,Yes,Moderate,High,Weak,No,Yes,None,Yes,71
54,Female,Rural,Finance,Bachelor's,High,4,iOS,High,Yes,Low,Public,Sometimes,2,No,Cautious,High,Weak,Yes,Yes,Strict,Yes,84
58,Male,Rural,Finance,Master's,Low,4,Other,Medium,Yes,Medium,Public,Often,2,Yes,Moderate,Low,Weak,Yes,No,Moderate,Yes,85
53,Male,Rural,Education,Associate,Low,1,Windows,Medium,Yes,Low,Private,Rarely,4,No,Risky,Medium,Moderate,Yes,Yes,Strict,No,58
44,Female,Rural,Finance,PhD,High,1,iOS,High,Yes,Low,Private,Often,1,Yes,Risky,Medium,Moderate,Yes,No,Strict,No,66
34,Female,Suburban,Retail,Associate,High,1,Other,Medium,Yes,High,Public,Sometimes,3,No,Risky,Low,Moderate,Yes,No,Moderate,Yes,76
26,Non-binary,Rural,Legal,High School,Medium,2,Other,Medium,Yes,High,Private,Often,4,No,Risky,High,Strong,Yes,No,Strict,No,70
50,Non-binary,Suburban,Healthcare,Bachelor's,Low,2,Linux,High,Yes,Medium,Private,Rarely,2,No,Cautious,Medium,Strong,Yes,No,Strict,No,63
37,Non-binary,Urban,Healthcare,Master's,High,1,Other,Medium,Yes,Low,Private,Rarely,4,No,Moderate,Medium,Strong,Yes,No,None,Yes,68
30,Female,Rural,Legal,High School,High,1,Linux,Medium,Yes,Low,Public,Sometimes,4,Yes,Risky,Low,Moderate,No,No,Strict,No,62
45,Non-binary,Urban,IT,Associate,Low,1,Windows,High,Yes,Low,Private,Sometimes,3,Yes,Cautious,Low,Weak,Yes,Yes,Moderate,No,68
46,Non-binary,Suburban,Legal,Bachelor's,Low,2,Windows,Low,Yes,High,Public,Sometimes,4,No,Moderate,High,Weak,Yes,No,Moderate,Yes,73
30,Male,Suburban,Healthcare,PhD,High,2,Android,Low,Yes,High,Public,Often,3,No,Cautious,High,Moderate,No,Yes,None,Yes,83
63,Non-binary,Urban,Education,High School,High,4,Linux,Low,Yes,High,Private,Rarely,2,No,Risky,Medium,Weak,No,No,None,Yes,86
52,Male,Rural,Retail,Bachelor's,High,3,Other,Low,Yes,High,Private,Often,3,Yes,Risky,Low,Weak,No,No,Moderate,No,70
23,Male,Rural,Legal,Associate,Low,4,Android,Low,No,High,Private,Sometimes,1,Yes,Risky,Low,Moderate,No,No,Moderate,Yes,76
35,Non-binary,Urban,IT,Associate,High,3,Android,Low,Yes,High,Public,Rarely,2,Yes,Moderate,Low,Weak,No,No,None,Yes,78
22,Male,Urban,Education,High School,High,3,Windows,High,No,Medium,Public,Sometimes,3,Yes,Risky,High,Moderate,Yes,Yes,Moderate,No,80
64,Female,Urban,Legal,High School,High,3,Other,High,No,Medium,Private,Rarely,2,Yes,Moderate,High,Strong,Yes,Yes,Strict,No,77
42,Female,Rural,Education,High School,Medium,4,Linux,High,No,Medium,Private,Rarely,4,No,Cautious,Medium,Weak,No,Yes,None,No,80
19,Non-binary,Rural,Legal,Master's,Medium,2,Windows,Medium,No,Medium,Public,Sometimes,2,Yes,Moderate,Low,Moderate,No,No,None,No,70
27,Female,Rural,Education,PhD,Low,2,Android,Low,No,Low,Private,Rarely,3,Yes,Cautious,High,Strong,Yes,No,None,No,53
47,Male,Urban,Finance,Bachelor's,High,2,iOS,Low,No,High,Public,Rarely,4,Yes,Moderate,Low,Weak,No,No,None,No,76
62,Female,Rural,Education,Associate,High,2,Android,High,Yes,High,Private,Sometimes,1,Yes,Risky,High,Strong,Yes,Yes,Strict,No,71
22,Non-binary,Suburban,Finance,Associate,Low,4,iOS,Medium,No,Medium,Private,Rarely,2,No,Risky,Low,Weak,No,Yes,None,No,86
50,Non-binary,Urban,Healthcare,PhD,Low,1,Windows,Medium,Yes,Low,Private,Sometimes,3,No,Cautious,Medium,Strong,Yes,No,None,No,56
18,Male,Rural,Finance,High School,Low,3,Linux,High,Yes,Medium,Public,Often,2,No,Moderate,High,Strong,No,No,Moderate,Yes,78
35,Non-binary,Urban,Education,High School,High,2,Other,Low,No,High,Private,Often,2,Yes,Moderate,High,Weak,No,Yes,None,No,75
49,Female,Suburban,Retail,Associate,Medium,2,iOS,Medium,Yes,Medium,Private,Sometimes,3,No,Cautious,Medium,Moderate,No,Yes,Moderate,Yes,51
64,Non-binary,Suburban,Retail,PhD,Low,4,Other,Low,Yes,Low,Public,Rarely,1,No,Moderate,Medium,Strong,No,No,Moderate,No,60
28,Male,Urban,Healthcare,Associate,High,3,Windows,Medium,No,High,Public,Often,3,Yes,Moderate,Low,Moderate,No,Yes,Moderate,Yes,83
38,Non-binary,Urban,Education,High School,Low,2,Windows,Low,Yes,Low,Public,Sometimes,2,No,Cautious,High,Strong,Yes,Yes,Strict,No,58
43,Female,Suburban,Finance,Bachelor's,High,1,Windows,Medium,No,Medium,Public,Sometimes,1,Yes,Cautious,Low,Strong,No,Yes,None,Yes,78
42,Male,Urban,Retail,High School,Low,2,Linux,Low,No,High,Public,Rarely,1,No,Cautious,Low,Weak,No,No,None,No,76
39,Female,Suburban,Legal,Bachelor's,High,3,iOS,Low,No,Low,Public,Rarely,1,Yes,Moderate,Low,Strong,Yes,No,Moderate,No,66
44,Male,Suburban,IT,Master's,Low,1,Other,Low,No,Low,Public,Rarely,1,No,Cautious,High,Strong,No,Yes,None,Yes,75
30,Non-binary,Rural,Education,PhD,Medium,4,Android,High,No,Low,Public,Sometimes,2,No,Cautious,Medium,Moderate,No,No,Moderate,Yes,68
50,Male,Urban,Legal,Master's,Low,1,Windows,Low,Yes,High,Private,Often,3,Yes,Cautious,Low,Moderate,Yes,No,None,No,70
51,Male,Urban,Legal,High School,Low,3,Other,Low,No,High,Private,Sometimes,3,No,Cautious,High,Moderate,Yes,No,Moderate,No,63
58,Non-binary,Rural,Education,PhD,Medium,3,Other,Medium,No,Medium,Private,Rarely,4,Yes,Risky,Low,Weak,No,Yes,Moderate,No,72
52,Female,Suburban,IT,High School,Low,1,Linux,Medium,Yes,Medium,Private,Rarely,4,No,Risky,Medium,Moderate,No,No,Moderate,No,56
18,Non-binary,Urban,Retail,PhD,Medium,2,iOS,High,No,High,Public,Sometimes,4,Yes,Risky,Medium,Weak,No,Yes,Strict,No,76
38,Male,Rural,IT,PhD,High,3,Linux,Medium,No,Low,Public,Rarely,1,No,Cautious,High,Weak,No,No,Moderate,No,69
23,Non-binary,Rural,Healthcare,High School,Medium,1,Linux,Low,No,High,Public,Rarely,1,No,Moderate,High,Moderate,Yes,No,Strict,No,78
45,Male,Urban,Finance,High School,Medium,3,Other,High,No,High,Public,Sometimes,3,No,Risky,Medium,Strong,Yes,No,Strict,No,80
34,Non-binary,Rural,Finance,PhD,High,2,iOS,High,No,High,Public,Often,1,Yes,Cautious,High,Strong,Yes,Yes,Moderate,Yes,86
22,Non-binary,Suburban,Legal,PhD,Medium,2,iOS,High,No,High,Private,Rarely,3,Yes,Risky,Medium,Moderate,No,Yes,Strict,Yes,78
48,Female,Rural,Retail,High School,Medium,1,iOS,Low,No,Medium,Private,Often,4,Yes,Risky,Low,Strong,Yes,No,None,Yes,75
22,Male,Suburban,IT,High School,High,4,Windows,Low,Yes,Medium,Public,Often,3,No,Cautious,Medium,Weak,No,No,Strict,No,82
55,Female,Suburban,Legal,Associate,Low,4,iOS,Medium,No,Low,Private,Often,1,Yes,Cautious,Low,Moderate,Yes,No,Strict,No,64
20,Male,Urban,Education,Associate,Low,2,Other,Medium,Yes,High,Public,Often,3,Yes,Risky,High,Weak,No,Yes,Strict,Yes,78
40,Non-binary,Rural,Legal,Associate,Medium,4,Windows,Medium,No,High,Public,Rarely,3,No,Cautious,Low,Moderate,Yes,Yes,Strict,Yes,90
54,Male,Suburban,Education,Master's,Low,2,Android,High,No,Medium,Private,Rarely,3,Yes,Risky,Medium,Strong,Yes,No,Moderate,No,60
54,Female,Suburban,Education,PhD,Low,4,Linux,Low,No,Medium,Private,Sometimes,1,Yes,Risky,High,Strong,Yes,Yes,None,No,71
27,Female,Rural,Healthcare,Bachelor's,Medium,2,iOS,Medium,Yes,High,Public,Rarely,2,Yes,Risky,High,Weak,Yes,No,None,No,71
27,Female,Suburban,Healthcare,Master's,High,3,Android,Low,Yes,Medium,Private,Sometimes,4,No,Risky,Medium,Strong,Yes,Yes,Strict,Yes,73
36,Male,Rural,Education,PhD,Low,1,iOS,High,Yes,High,Public,Often,2,Yes,Moderate,High,Strong,No,No,None,Yes,66
34,Female,Urban,Retail,Bachelor's,Medium,1,Linux,Low,No,Low,Public,Sometimes,2,Yes,Moderate,Medium,Weak,Yes,No,Moderate,Yes,66
38,Female,Suburban,Healthcare,Associate,High,4,Other,Low,No,Low,Private,Sometimes,2,Yes,Cautious,Low,Weak,Yes,No,Strict,No,73
31,Female,Suburban,Healthcare,Bachelor's,Low,1,Other,High,Yes,Low,Public,Rarely,2,No,Moderate,Low,Weak,Yes,No,Strict,No,75
26,Non-binary,Rural,Finance,High School,High,4,Linux,Medium,Yes,High,Public,Sometimes,1,Yes,Moderate,High,Moderate,No,No,Strict,Yes,67
63,Non-binary,Rural,Legal,High School,Medium,2,Android,Low,No,Medium,Private,Often,1,No,Cautious,Medium,Weak,No,Yes,None,No,82
18,Male,Rural,Finance,PhD,High,3,Windows,Low,No,Low,Public,Rarely,2,Yes,Risky,Medium,Moderate,No,Yes,Strict,Yes,80
62,Male,Rural,Retail,Master's,High,1,Windows,High,No,High,Public,Rarely,2,No,Moderate,Low,Moderate,Yes,Yes,Strict,Yes,95
30,Female,Suburban,Healthcare,Associate,Medium,3,iOS,Low,Yes,Low,Private,Rarely,3,Yes,Moderate,Low,Moderate,Yes,No,None,No,58
21,Non-binary,Urban,Healthcare,PhD,Low,1,Linux,Low,Yes,Low,Private,Often,3,Yes,Moderate,High,Weak,Yes,Yes,Moderate,No,71
18,Female,Urban,IT,Associate,Low,2,Linux,Low,No,Medium,Private,Sometimes,4,No,Moderate,Medium,Moderate,Yes,Yes,None,No,76
57,Female,Urban,Retail,High School,High,1,Windows,High,No,High,Public,Rarely,4,No,Risky,High,Strong,No,No,Moderate,No,80
49,Non-binary,Urban,Legal,Master's,High,1,Android,Low,No,Medium,Public,Sometimes,4,Yes,Cautious,High,Weak,No,No,Moderate,Yes,68
51,Non-binary,Rural,Legal,Master's,High,2,Linux,High,Yes,Medium,Private,Often,3,Yes,Moderate,High,Weak,Yes,No,Moderate,Yes,78
45,Non-binary,Suburban,Legal,High School,High,4,Other,Medium,No,Medium,Private,Often,2,Yes,Moderate,Medium,Moderate,Yes,No,Strict,Yes,75
48,Male,Suburban,Retail,Bachelor's,Low,4,Other,Low,Yes,Low,Public,Often,2,Yes,Moderate,Low,Weak,Yes,Yes,Moderate,Yes,80
25,Male,Suburban,IT,Master's,Medium,2,Linux,High,Yes,Low,Private,Rarely,4,Yes,Moderate,Medium,Moderate,Yes,No,Strict,No,58
56,Female,Rural,IT,Bachelor's,Medium,4,Android,High,Yes,Low,Public,Rarely,4,Yes,Cautious,Medium,Weak,Yes,No,None,Yes,85
43,Male,Suburban,Finance,Associate,Medium,1,Other,Low,No,High,Public,Sometimes,1,No,Risky,Medium,Moderate,Yes,No,Moderate,Yes,80
51,Non-binary,Rural,Retail,Master's,High,3,Android,High,No,Medium,Private,Sometimes,4,No,Cautious,High,Weak,Yes,No,Strict,Yes,73
20,Non-binary,Suburban,Retail,High School,High,2,Windows,Medium,Yes,Low,Public,Rarely,3,No,Moderate,High,Weak,No,Yes,Strict,Yes,73
29,Male,Urban,IT,Bachelor's,Medium,1,iOS,Medium,Yes,Medium,Private,Often,3,No,Moderate,Medium,Moderate,Yes,No,Moderate,No,58
18,Female,Rural,Education,Associate,Low,2,Windows,Medium,No,Medium,Public,Often,4,Yes,Cautious,High,Strong,Yes,Yes,Moderate,Yes,75
61,Female,Suburban,Education,Associate,Medium,3,iOS,Medium,Yes,Medium,Public,Rarely,4,No,Risky,High,Weak,Yes,No,Moderate,No,68
22,Male,Urban,Finance,Master's,Low,1,Other,High,No,Medium,Public,Sometimes,1,No,Risky,Low,Strong,No,Yes,Strict,No,85
47,Female,Urban,Education,Master's,High,1,iOS,High,No,Medium,Private,Often,1,No,Risky,Medium,Strong,No,No,Strict,Yes,73
47,Female,Urban,Education,PhD,Medium,3,iOS,Medium,No,Low,Public,Rarely,1,No,Risky,Medium,Weak,Yes,No,Moderate,No,66
34,Female,Rural,Education,PhD,Medium,3,Linux,Medium,No,High,Public,Sometimes,3,Yes,Cautious,High,Weak,Yes,No,None,No,69
64,Non-binary,Rural,Healthcare,Master's,High,4,iOS,Medium,Yes,High,Private,Sometimes,1,No,Cautious,Medium,Moderate,No,No,Strict,Yes,67
40,Non-binary,Suburban,Finance,PhD,Low,1,Linux,Medium,No,High,Private,Often,2,No,Risky,Medium,Moderate,No,No,Strict,Yes,74
32,Male,Urban,IT,High School,Medium,3,iOS,Medium,Yes,High,Public,Often,2,Yes,Cautious,Medium,Strong,No,No,None,No,61
54,Non-binary,Suburban,Education,High School,Medium,3,Linux,High,Yes,Medium,Private,Often,2,Yes,Cautious,Medium,Moderate,No,No,None,Yes,65
38,Female,Suburban,Legal,PhD,Low,1,Other,Medium,Yes,Low,Public,Often,1,No,Moderate,High,Moderate,No,Yes,None,No,68
31,Non-binary,Urban,Healthcare,Master's,Medium,4,Other,Medium,No,Low,Public,Sometimes,3,No,Cautious,Low,Moderate,No,Yes,Strict,No,73
19,Male,Suburban,Education,High School,Medium,2,iOS,Low,No,Medium,Public,Rarely,3,No,Cautious,High,Moderate,Yes,No,None,Yes,75
28,Non-binary,Rural,Healthcare,Associate,High,4,Android,High,Yes,Medium,Public,Sometimes,1,Yes,Risky,Low,Weak,No,Yes,None,Yes,93
56,Female,Suburban,Finance,Master's,Low,3,Other,Medium,No,Low,Public,Often,4,No,Cautious,Medium,Moderate,Yes,Yes,Strict,Yes,83
55,Female,Urban,Legal,Bachelor's,Medium,2,Windows,High,No,Low,Public,Rarely,4,Yes,Risky,Medium,Strong,Yes,Yes,Strict,Yes,82
51,Male,Rural,Legal,Bachelor's,Medium,2,Windows,Low,No,High,Private,Sometimes,1,Yes,Moderate,Medium,Weak,Yes,No,Strict,No,65
55,Non-binary,Rural,Legal,Master's,High,4,Linux,Low,No,High,Public,Rarely,3,No,Moderate,Medium,Weak,No,No,None,No,86
51,Non-binary,Suburban,Education,PhD,Medium,2,Android,Medium,No,High,Public,Sometimes,2,No,Cautious,Medium,Strong,Yes,No,Moderate,No,61
35,Non-binary,Suburban,Healthcare,High School,High,3,Linux,Medium,Yes,Low,Private,Rarely,4,Yes,Cautious,Medium,Weak,No,No,Moderate,No,54
47,Female,Rural,Legal,High School,Medium,1,iOS,Medium,No,High,Public,Sometimes,2,Yes,Risky,Medium,Weak,Yes,Yes,Strict,Yes,79
32,Male,Suburban,Retail,Master's,High,1,Other,Medium,No,Low,Public,Sometimes,3,Yes,Moderate,Low,Strong,No,No,None,No,61
44,Non-binary,Urban,Retail,Associate,Low,1,Android,Low,Yes,Low,Public,Often,4,Yes,Risky,High,Moderate,No,Yes,None,No,63
51,Female,Suburban,Healthcare,PhD,Low,4,Linux,High,No,Medium,Public,Sometimes,1,Yes,Cautious,Medium,Weak,No,No,None,No,76
55,Female,Suburban,Education,Associate,Medium,1,Linux,Medium,Yes,Low,Private,Often,2,Yes,Moderate,Medium,Moderate,No,No,Strict,No,46
50,Female,Rural,Education,Master's,Medium,1,Windows,High,Yes,Medium,Public,Sometimes,2,No,Cautious,Medium,Strong,No,No,Moderate,Yes,62
41,Non-binary,Suburban,Finance,Master's,High,1,iOS,Medium,No,Medium,Private,Rarely,2,No,Moderate,Low,Weak,No,Yes,None,Yes,81
32,Non-binary,Suburban,Finance,Associate,High,2,Linux,Medium,Yes,Low,Private,Rarely,1,No,Risky,Medium,Moderate,Yes,No,Moderate,Yes,69
47,Non-binary,Suburban,Legal,Bachelor's,Low,2,Windows,Low,Yes,Low,Private,Often,1,No,Cautious,High,Strong,Yes,Yes,Moderate,No,65
59,Non-binary,Urban,IT,Master's,Medium,2,Android,Medium,No,High,Public,Sometimes,2,Yes,Cautious,Low,Weak,No,No,None,No,76
34,Non-binary,Suburban,Finance,PhD,High,3,Linux,Medium,Yes,Low,Public,Often,1,Yes,Moderate,Low,Weak,Yes,Yes,Strict,Yes,84
22,Non-binary,Urban,Education,Associate,Low,3,Windows,Medium,No,High,Private,Rarely,4,No,Risky,Medium,Moderate,No,No,Moderate,Yes,68
46,Non-binary,Urban,IT,Bachelor's,Low,3,iOS,Low,Yes,High,Private,Sometimes,3,No,Moderate,Low,Weak,Yes,Yes,Moderate,No,69
21,Non-binary,Urban,Finance,Associate,High,1,Other,High,No,Low,Public,Often,4,No,Moderate,Medium,Moderate,No,No,Moderate,No,80
27,Non-binary,Urban,Healthcare,Bachelor's,Medium,2,Android,Low,Yes,High,Public,Rarely,1,No,Moderate,High,Moderate,Yes,No,Moderate,No,65
34,Female,Rural,Retail,Bachelor's,Low,3,Linux,Medium,No,Medium,Public,Rarely,3,No,Cautious,High,Weak,Yes,No,Moderate,No,66
27,Non-binary,Urban,Finance,PhD,High,4,Windows,Medium,No,Medium,Public,Sometimes,2,Yes,Risky,Low,Strong,No,No,None,No,78
34,Male,Suburban,Finance,Master's,Low,2,Linux,Medium,Yes,Low,Public,Sometimes,2,Yes,Risky,Low,Weak,No,No,Strict,Yes,67
37,Female,Urban,Healthcare,Bachelor's,Medium,1,Other,High,Yes,Low,Private,Sometimes,3,No,Risky,Medium,Strong,No,No,Moderate,Yes,65
41,Non-binary,Suburban,Education,Master's,High,2,Linux,High,No,Low,Private,Often,4,No,Moderate,Low,Moderate,No,Yes,Strict,Yes,81
22,Male,Urban,Legal,PhD,Medium,1,Linux,Medium,Yes,Medium,Private,Often,2,No,Risky,High,Moderate,Yes,Yes,Strict,Yes,83
51,Non-binary,Rural,Healthcare,Master's,Medium,3,Windows,Medium,Yes,High,Public,Sometimes,2,No,Risky,Low,Weak,No,No,None,No,78
23,Male,Urban,Legal,High School,Low,1,Other,High,Yes,Medium,Private,Sometimes,2,No,Cautious,High,Weak,No,Yes,Strict,No,70
19,Male,Urban,Finance,Bachelor's,Medium,1,Android,Low,No,High,Public,Sometimes,1,No,Cautious,Medium,Weak,Yes,Yes,Strict,No,83
30,Male,Rural,Education,PhD,Low,4,Windows,Low,No,High,Private,Rarely,4,No,Cautious,High,Moderate,No,No,Strict,Yes,65
60,Male,Urban,IT,Associate,High,2,Other,High,No,Low,Public,Sometimes,1,No,Moderate,Low,Weak,No,Yes,Strict,Yes,93
60,Female,Suburban,Finance,PhD,High,1,Other,High,Yes,Low,Private,Often,3,Yes,Cautious,High,Strong,No,No,Moderate,No,65
28,Female,Urban,Healthcare,Bachelor's,Low,4,Linux,Medium,Yes,Low,Private,Rarely,3,No,Risky,High,Strong,No,No,None,Yes,69
64,Male,Urban,IT,PhD,Low,4,iOS,High,Yes,Medium,Public,Sometimes,1,No,Cautious,Low,Moderate,No,Yes,None,No,81
40,Non-binary,Urban,Retail,Associate,Low,4,iOS,High,No,Medium,Public,Often,2,No,Moderate,Medium,Moderate,Yes,No,None,No,78
33,Male,Rural,IT,High School,Medium,3,Android,Medium,No,Medium,Private,Rarely,1,Yes,Cautious,High,Weak,No,Yes,Strict,Yes,65
48,Female,Urban,Healthcare,Bachelor's,High,3,Linux,High,No,Low,Private,Rarely,4,No,Risky,Low,Weak,Yes,No,Strict,Yes,91
28,Non-binary,Urban,IT,Bachelor's,High,1,iOS,Medium,No,Low,Public,Often,2,Yes,Cautious,High,Strong,No,Yes,Moderate,No,64
33,Female,Suburban,Healthcare,PhD,Medium,2,Windows,Low,Yes,High,Public,Often,3,No,Cautious,High,Strong,Yes,No,Strict,Yes,77
25,Female,Urban,Finance,Master's,Low,3,Android,Low,Yes,High,Public,Rarely,4,Yes,Cautious,High,Moderate,Yes,No,Strict,Yes,63
21,Non-binary,Urban,Education,Master's,High,3,Linux,Low,Yes,Low,Private,Often,3,Yes,Moderate,Medium,Weak,Yes,Yes,None,Yes,81
57,Male,Urban,Retail,Associate,Medium,1,Windows,Medium,No,Medium,Private,Rarely,4,No,Moderate,High,Weak,Yes,Yes,Strict,Yes,77
21,Male,Urban,Education,High School,Low,1,iOS,Low,Yes,Low,Public,Rarely,4,No,Moderate,Low,Weak,No,No,None,Yes,71
42,Male,Suburban,Education,High School,High,3,iOS,Low,Yes,Medium,Private,Rarely,4,No,Moderate,Low,Weak,No,No,None,Yes,68
20,Male,Suburban,Education,PhD,Low,1,iOS,Medium,No,Low,Public,Rarely,3,Yes,Moderate,High,Strong,Yes,No,None,Yes,64
49,Non-binary,Rural,Healthcare,PhD,Medium,4,iOS,Medium,No,Low,Private,Sometimes,1,Yes,Cautious,Medium,Weak,Yes,No,Strict,Yes,64
20,Non-binary,Urban,Healthcare,Master's,High,1,Other,Low,Yes,High,Public,Often,1,No,Cautious,Low,Strong,No,Yes,Strict,Yes,90
44,Non-binary,Rural,Retail,High School,Low,4,Android,Low,No,Medium,Public,Sometimes,2,Yes,Moderate,Medium,Moderate,No,Yes,Moderate,No,58
46,Female,Rural,Healthcare,High School,Low,3,Android,Low,Yes,Medium,Private,Sometimes,3,No,Moderate,Medium,Weak,Yes,Yes,None,Yes,73
49,Non-binary,Urban,Legal,High School,Low,2,iOS,High,Yes,Low,Public,Sometimes,2,Yes,Cautious,Low,Strong,No,No,Moderate,No,54
36,Male,Suburban,Healthcare,Associate,Medium,4,Android,Medium,No,High,Public,Sometimes,2,No,Risky,Low,Strong,Yes,Yes,Strict,No,86
38,Female,Suburban,Healthcare,Associate,Low,2,Windows,Medium,No,Low,Private,Rarely,4,No,Cautious,Medium,Strong,No,Yes,Strict,No,58
22,Male,Urban,Healthcare,PhD,High,3,Windows,Medium,Yes,Low,Private,Rarely,4,Yes,Moderate,High,Weak,No,No,Strict,Yes,63
35,Male,Urban,Finance,Master's,High,1,Android,Medium,No,Medium,Private,Rarely,1,Yes,Cautious,Medium,Strong,Yes,Yes,Moderate,Yes,68
45,Non-binary,Suburban,Retail,Bachelor's,Low,4,iOS,Low,No,Low,Private,Rarely,1,Yes,Moderate,Low,Strong,No,No,Strict,Yes,56
59,Non-binary,Urban,Legal,Master's,Medium,4,Linux,Medium,Yes,High,Public,Sometimes,2,Yes,Cautious,Medium,Moderate,No,Yes,Strict,No,69
39,Male,Urban,Healthcare,Associate,High,3,iOS,High,Yes,Low,Public,Rarely,2,Yes,Cautious,Low,Weak,No,No,Strict,Yes,71
38,Male,Urban,Retail,Associate,High,3,Other,High,Yes,High,Public,Sometimes,2,No,Cautious,High,Strong,Yes,No,Moderate,No,68
23,Female,Suburban,IT,PhD,High,1,Linux,Low,No,Medium,Public,Rarely,1,No,Risky,High,Strong,No,Yes,Moderate,Yes,88
18,Non-binary,Rural,Finance,Bachelor's,Low,2,Other,Low,No,Medium,Public,Often,2,Yes,Cautious,High,Weak,No,No,Strict,Yes,77
22,Female,Rural,Healthcare,High School,High,4,Android,Medium,No,Low,Private,Often,1,Yes,Cautious,High,Weak,No,No,None,Yes,81
58,Female,Urban,Legal,Bachelor's,Low,2,Other,Low,Yes,High,Private,Often,3,Yes,Risky,High,Strong,No,No,Moderate,No,65
29,Female,Suburban,Finance,Bachelor's,Low,4,Android,Low,No,Medium,Public,Often,3,No,Cautious,Low,Weak,No,Yes,Moderate,No,85
43,Male,Urban,Legal,Bachelor's,Low,4,Other,Low,Yes,High,Private,Rarely,2,No,Risky,Medium,Weak,Yes,Yes,None,Yes,90
63,Female,Suburban,Finance,PhD,Low,1,Linux,High,No,Medium,Private,Often,1,No,Risky,High,Weak,No,No,Moderate,Yes,88
51,Female,Urban,IT,Associate,Low,4,Other,Medium,Yes,Medium,Private,Often,3,No,Risky,Low,Weak,No,No,None,No,80
31,Male,Suburban,Retail,High School,High,4,iOS,Low,No,High,Private,Sometimes,1,No,Cautious,Medium,Weak,Yes,No,None,No,74
43,Non-binary,Suburban,Finance,Bachelor's,Low,3,Android,Medium,Yes,High,Private,Often,1,No,Moderate,Medium,Strong,Yes,No,None,Yes,71
62,Non-binary,Rural,Education,High School,Low,1,Windows,Medium,Yes,High,Public,Rarely,3,No,Cautious,High,Strong,Yes,No,None,No,68
44,Female,Urban,IT,Bachelor's,Low,3,Other,Medium,Yes,Medium,Private,Sometimes,2,Yes,Moderate,High,Moderate,No,Yes,None,No,53
26,Male,Rural,Education,Associate,Low,4,Android,High,Yes,High,Public,Rarely,2,No,Moderate,Medium,Moderate,No,No,Moderate,Yes,68
43,Non-binary,Rural,IT,High School,Low,1,Windows,Medium,No,Low,Public,Sometimes,3,No,Risky,Medium,Weak,Yes,No,Strict,Yes,76
64,Female,Suburban,Education,Master's,Low,4,Android,Medium,No,High,Public,Rarely,4,No,Risky,Low,Weak,Yes,No,None,Yes,96
39,Female,Urban,Education,Associate,High,1,Android,Low,No,Medium,Public,Often,1,No,Risky,High,Strong,No,No,Moderate,Yes,75
64,Male,Suburban,Legal,High School,Low,2,Windows,Low,No,High,Public,Sometimes,4,Yes,Risky,Medium,Moderate,No,Yes,Strict,No,73
47,Female,Suburban,Finance,Bachelor's,Low,2,Windows,High,No,High,Private,Often,2,Yes,Cautious,Medium,Weak,No,Yes,Strict,Yes,80
60,Non-binary,Suburban,Finance,Bachelor's,High,1,Linux,Medium,Yes,High,Public,Rarely,1,Yes,Cautious,High,Weak,Yes,Yes,Moderate,No,79
34,Male,Urban,IT,Associate,High,4,Other,High,No,Low,Public,Rarely,3,Yes,Moderate,Low,Moderate,No,No,Strict,Yes,80
43,Non-binary,Urban,Retail,Associate,Medium,1,Other,Medium,No,Medium,Public,Sometimes,2,No,Cautious,Low,Moderate,Yes,No,Strict,No,65
53,Non-binary,Suburban,Legal,Bachelor's,High,4,Android,High,Yes,Low,Private,Rarely,2,Yes,Cautious,High,Weak,Yes,No,None,Yes,78
18,Non-binary,Urban,Finance,High School,High,2,iOS,Medium,No,Low,Private,Rarely,2,No,Moderate,Low,Moderate,Yes,No,None,No,74
25,Female,Suburban,Finance,Master's,Low,4,iOS,Low,No,Medium,Private,Sometimes,3,Yes,Cautious,Low,Moderate,No,Yes,Moderate,Yes,66
52,Female,Urban,Legal,PhD,Medium,3,Android,High,No,Medium,Private,Often,3,Yes,Cautious,Low,Moderate,No,No,None,Yes,77
32,Non-binary,Urban,Healthcare,Associate,Low,2,Linux,Low,Yes,High,Public,Sometimes,4,Yes,Risky,Medium,Strong,Yes,Yes,Strict,Yes,74
